t,m,j,u,Price
2018-19,SNNP,Carrot,Kg,22.09527516
2018-19,SNNP,Cassava,Kg,12.45034042
2018-19,SNNP,Chat/Kat,Kg,137.0544939
2018-19,SNNP,Cheese,Kg,59.25263854
2018-19,SNNP,Chick Pea,Kg,35.1686389
2018-19,SNNP,Coffee,Kg,83.51579172
2018-19,SNNP,Eggs,Kg,18.41546968
2018-19,SNNP,Fenugreek,Kg,108.8851031
2018-19,SNNP,Field Pea,Kg,31.57800061
2018-19,SNNP,Fish,Kg,10.22961518
2018-19,SNNP,Garlic,Kg,48.58460072
2018-19,SNNP,Goat & mutton meat,Kg,202.7408735
2018-19,SNNP,Godere,Kg,13.26907719
2018-19,SNNP,Ground nuts,Kg,89.08791557
2018-19,SNNP,Haricot Beans,Kg,17.37816325
2018-19,SNNP,Honey,Kg,105.7164583
2018-19,SNNP,Hops (gesho),Kg,13.74476195
2018-19,SNNP,Horsebeans,Kg,30.81408532
2018-19,SNNP,Injera,Kg,18.83711485
2018-19,SNNP,Kariya,Kg,14.23404556
2018-19,SNNP,Kocho,Kg,52.81794299
2018-19,SNNP,Leafy Greens,Kg,15.75696298
2018-19,SNNP,Lentils,Kg,67.21243476
2018-19,SNNP,Linseed,Kg,79.45860651
2018-19,SNNP,Maize,Kg,13.00082914
2018-19,SNNP,Mango,Kg,15.10588935
2018-19,SNNP,Milk,Kg,23.55370954
2018-19,SNNP,Millet,Kg,8.666666667
2018-19,SNNP,Moringa/Shiferaw/Halloka,Kg,5.635996239
2018-19,SNNP,Oats,Kg,31.9411764
2018-19,SNNP,Oils,Kg,109.7390142
2018-19,SNNP,Onion,Kg,20.32270442
2018-19,SNNP,Orange,Kg,29.63288162
2018-19,SNNP,Other fruit,Kg,73.46153987
2018-19,SNNP,Other prepared food,Kg,41.1331773
2018-19,SNNP,Other pulse or nut,Kg,83.33332938
2018-19,SNNP,Other seed,Kg,119.9999943
2018-19,SNNP,Other vegetable,Kg,9.803921752
2018-19,SNNP,Papaya,Kg,44.93142494
2018-19,SNNP,Pasta/Macaroni,Kg,37.35583926
2018-19,SNNP,Potato,Kg,14.73240556
2018-19,SNNP,Poultry,Kg,399.9999841
2018-19,SNNP,Rice,Kg,28.4242548
2018-19,SNNP,Salt,Kg,30.31107485
2018-19,SNNP,Sesame,Kg,77.66666413
2018-19,SNNP,Shiro,Kg,54.81168636
2018-19,SNNP,Soda,Kg,47.44062784
2018-19,SNNP,Sorghum,Kg,15.04549761
2018-19,SNNP,Sugar,Kg,39.96771297
2018-19,SNNP,Sun Flower,Kg,499.9999763
2018-19,SNNP,Sweet potato,Kg,15.35981622
2018-19,SNNP,Tea,Kg,59.95076773
2018-19,SNNP,Teff,Kg,28.78505554
2018-19,SNNP,Tella,Kg,5.558011763
2018-19,SNNP,Tomato,Kg,18.08962182
2018-19,SNNP,Wheat,Kg,20.92574561
2018-19,Somali,Banana,Kg,45.58872264
2018-19,Somali,Barley,Kg,28.75
2018-19,Somali,Beef,Kg,175.9816292
2018-19,Somali,Beetroot,Kg,29.14653566
2018-19,Somali,Berbere,Kg,116.3056125
2018-19,Somali,Bread/biscuit,Kg,18.42712361
2018-19,Somali,Butter/ghee,Kg,211.5294122
2018-19,Somali,Carrot,Kg,27.41759553
2018-19,Somali,Chat/Kat,Kg,342.8031147
2018-19,Somali,Cheese,Kg,12.34375534
2018-19,Somali,Chick Pea,Kg,32.4168146
2018-19,Somali,Coffee,Kg,117.026061
2018-19,Somali,Eggs,Kg,22.03874492
2018-19,Somali,Fenugreek,Kg,55
2018-19,Somali,Field Pea,Kg,24.53921553
2018-19,Somali,Garlic,Kg,53.88767708
2018-19,Somali,Goat & mutton meat,Kg,206.7886474
2018-19,Somali,Ground nuts,Kg,45.95630855
2018-19,Somali,Haricot Beans,Kg,25.53644375
2018-19,Somali,Honey,Kg,312.135922
2018-19,Somali,Horsebeans,Kg,40
2018-19,Somali,Injera,Kg,34.10719666
2018-19,Somali,Kariya,Kg,41.54680431
2018-19,Somali,Leafy Greens,Kg,36.14355838
2018-19,Somali,Lentils,Kg,51.02236786
2018-19,Somali,Linseed,Kg,46.32850273
2018-19,Somali,Maize,Kg,17.60553351
2018-19,Somali,Mango,Kg,35.76923077
2018-19,Somali,Milk,Kg,26.99717961
2018-19,Somali,Oils,Kg,66.6860651
2018-19,Somali,Onion,Kg,30.25770386
2018-19,Somali,Orange,Kg,69.56043976
2018-19,Somali,Other condiments,Kg,38.46153987
2018-19,Somali,Other prepared food,Kg,112.7922027
2018-19,Somali,Other seed,Kg,85
2018-19,Somali,Other vegetable,Kg,3.571428518
2018-19,Somali,Pasta/Macaroni,Kg,35.93721806
2018-19,Somali,Potato,Kg,29.45445943
2018-19,Somali,Rice,Kg,31.49874326
2018-19,Somali,Salt,Kg,32.62749585
2018-19,Somali,Sesame,Kg,39.97777778
2018-19,Somali,Shiro,Kg,69.4696344
2018-19,Somali,Soda,Kg,42.9428483
2018-19,Somali,Sorghum,Kg,17.13632469
2018-19,Somali,Sugar,Kg,30.22056625
2018-19,Somali,Tea,Kg,60.0262209
2018-19,Somali,Teff,Kg,33.75
2018-19,Somali,Tomato,Kg,31.95146812
2018-19,Somali,Wheat,Kg,26.15081535
2018-19,Tigray,Avocado,Kg,41.09061488
2018-19,Tigray,Banana,Kg,107.0763862
2018-19,Tigray,Barley,Kg,19.53320762
2018-19,Tigray,Beef,Kg,245.2691099
2018-19,Tigray,Beer,Kg,87.64369924
2018-19,Tigray,Beetroot,Kg,26.49999997
2018-19,Tigray,Berbere,Kg,91.97232323
2018-19,Tigray,Bread/biscuit,Kg,58.43818814
2018-19,Tigray,Butter/ghee,Kg,289.0546
2018-19,Tigray,Carrot,Kg,19.19413756
2018-19,Tigray,Cheese,Kg,40
2018-19,Tigray,Chick Pea,Kg,37.46551564
2018-19,Tigray,Coffee,Kg,121.1454185
2018-19,Tigray,Eggs,Kg,23.08063837
2018-19,Tigray,Fenugreek,Kg,71.9454979
2018-19,Tigray,Field Pea,Kg,37.32597369
2018-19,Tigray,Fish,Kg,62.5
2018-19,Tigray,Garlic,Kg,76.75295188
2018-19,Tigray,Goat & mutton meat,Kg,225.7969271
2018-19,Tigray,Ground nuts,Kg,72.88482705
2018-19,Tigray,Haricot Beans,Kg,30
2018-19,Tigray,Honey,Kg,276.4597732
2018-19,Tigray,Hops (gesho),Kg,79.85480757
2018-19,Tigray,Horsebeans,Kg,32.9576681
2018-19,Tigray,Injera,Kg,44.99446966
2018-19,Tigray,Kariya,Kg,27.0042604
2018-19,Tigray,Leafy Greens,Kg,19.68160966
2018-19,Tigray,Lentils,Kg,66.4634676
2018-19,Tigray,Linseed,Kg,42.34808692
2018-19,Tigray,Maize,Kg,18.90712765
2018-19,Tigray,Mango,Kg,30.09501105
2018-19,Tigray,Milk,Kg,40.08806071
2018-19,Tigray,Millet,Kg,16.51374712
2018-19,Tigray,Mung bean,Kg,58.82352879
2018-19,Tigray,Niger Seed,Kg,34
2018-19,Tigray,Oats,Kg,74.49999848
2018-19,Tigray,Oils,Kg,78.04878941
2018-19,Tigray,Onion,Kg,24.88143249
2018-19,Tigray,Orange,Kg,38.19298243
2018-19,Tigray,Other condiments,Kg,14.15384647
2018-19,Tigray,Other fruit,Kg,13.99999984
2018-19,Tigray,Other prepared food,Kg,143.0606433
2018-19,Tigray,Other seed,Kg,100
2018-19,Tigray,Papaya,Kg,29
2018-19,Tigray,Pasta/Macaroni,Kg,35.97346015
2018-19,Tigray,Potato,Kg,18.26940071
2018-19,Tigray,Poultry,Kg,604.0886018
2018-19,Tigray,Rice,Kg,33.53424648
2018-19,Tigray,Salt,Kg,27.77904997
2018-19,Tigray,Sesame,Kg,260.6428306
2018-19,Tigray,Shiro,Kg,55.81644572
2018-19,Tigray,Soda,Kg,57.00840479
2018-19,Tigray,Sorghum,Kg,15.99945627
2018-19,Tigray,Sugar,Kg,52.4599141
2018-19,Tigray,Sun Flower,Kg,47.30314913
2018-19,Tigray,Sweet potato,Kg,24.47674407
2018-19,Tigray,Tea,Kg,44.02564218
2018-19,Tigray,Teff,Kg,42.78116419
2018-19,Tigray,Tella,Kg,8.421972887
2018-19,Tigray,Tomato,Kg,16.89453801
2018-19,Tigray,Vetch,Kg,27.8878813
2018-19,Tigray,Wheat,Kg,20.18105842
