t,m,j,u,Price
2018-19,Afar,Pasta/Macaroni,Kg,50.3251334
2018-19,Afar,Potato,Kg,21.83966994
2018-19,Afar,Poultry,Kg,382.5581297
2018-19,Afar,Rice,Kg,30.83379107
2018-19,Afar,Salt,Kg,22.02235831
2018-19,Afar,Sesame,Kg,38.31417662
2018-19,Afar,Shiro,Kg,48.02028223
2018-19,Afar,Soda,Kg,62.13562848
2018-19,Afar,Sorghum,Kg,16.78242844
2018-19,Afar,Sugar,Kg,40.25996286
2018-19,Afar,Sun Flower,Kg,22.79581526
2018-19,Afar,Sweet potato,Kg,31.25830992
2018-19,Afar,Tea,Kg,36.53145698
2018-19,Afar,Teff,Kg,30.64380102
2018-19,Afar,Tella,Kg,6.066411298
2018-19,Afar,Tomato,Kg,24.345323
2018-19,Afar,Vetch,Kg,41.66666621
2018-19,Afar,Wheat,Kg,21.65900909
2018-19,Amhara,Avocado,Kg,22.45454501
2018-19,Amhara,Banana,Kg,23.64834852
2018-19,Amhara,Barley,Kg,16.3702156
2018-19,Amhara,Beef,Kg,309.9082916
2018-19,Amhara,Beer,Kg,43.21163891
2018-19,Amhara,Beetroot,Kg,15.32278709
2018-19,Amhara,Berbere,Kg,93.28112896
2018-19,Amhara,Bread/biscuit,Kg,15.70686885
2018-19,Amhara,Butter/ghee,Kg,270.1525765
2018-19,Amhara,Carrot,Kg,13.83236232
2018-19,Amhara,Chat/Kat,Kg,216.2663646
2018-19,Amhara,Cheese,Kg,43.69158865
2018-19,Amhara,Chick Pea,Kg,33.69912863
2018-19,Amhara,Coffee,Kg,103.1201672
2018-19,Amhara,Eggs,Kg,18.30747734
2018-19,Amhara,Fenugreek,Kg,85.85643323
2018-19,Amhara,Field Pea,Kg,45.4143635
2018-19,Amhara,Fish,Kg,160
2018-19,Amhara,Garlic,Kg,49.7641
2018-19,Amhara,Goat & mutton meat,Kg,279.4452168
2018-19,Amhara,Ground nuts,Kg,55.38509326
2018-19,Amhara,Haricot Beans,Kg,26.03563934
2018-19,Amhara,Honey,Kg,238.0486365
2018-19,Amhara,Hops (gesho),Kg,27.96445525
2018-19,Amhara,Horsebeans,Kg,31.56366968
2018-19,Amhara,Injera,Kg,32.57713594
2018-19,Amhara,Kariya,Kg,24.47842903
2018-19,Amhara,Leafy Greens,Kg,17.47534589
2018-19,Amhara,Lentils,Kg,64.98318603
2018-19,Amhara,Linseed,Kg,41.7789448
2018-19,Amhara,Maize,Kg,11.93549375
2018-19,Amhara,Mango,Kg,20.41776718
2018-19,Amhara,Milk,Kg,24.12993747
2018-19,Amhara,Millet,Kg,21.40283242
2018-19,Amhara,Niger Seed,Kg,40.99578279
2018-19,Amhara,Oats,Kg,65.29970264
2018-19,Amhara,Oils,Kg,76.53040925
2018-19,Amhara,Onion,Kg,23.66959972
2018-19,Amhara,Orange,Kg,19.66887245
2018-19,Amhara,Other condiments,Kg,233.3782496
2018-19,Amhara,Other fruit,Kg,11.11111067
2018-19,Amhara,Other prepared food,Kg,31.25581357
2018-19,Amhara,Other pulse or nut,Kg,45.70852853
2018-19,Amhara,Other tuber or stem,Kg,26.69776069
2018-19,Amhara,Papaya,Kg,68.06153891
2018-19,Amhara,Pasta/Macaroni,Kg,51.94747801
2018-19,Amhara,Potato,Kg,13.91507846
