Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2012","2012","1000 t","3435","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2511","Wheat and products","2012","2012","1000 t","1051","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2511","Wheat and products","2012","2012","1000 t","-420","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2511","Wheat and products","2012","2012","1000 t","74","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2511","Wheat and products","2012","2012","1000 t","4832","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2511","Wheat and products","2012","2012","1000 t","90","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5527","Seed","S2511","Wheat and products","2012","2012","1000 t","120","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2511","Wheat and products","2012","2012","1000 t","162","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2511","Wheat and products","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5154","Other uses (non-food)","S2511","Wheat and products","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2511","Wheat and products","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2511","Wheat and products","2012","2012","1000 t","4460","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2012","2012","kg/cap","47.22","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2012","2012","kcal/cap/d","399.79","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2511","Wheat and products","2012","2012","million Kcal","13782669.45","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2012","2012","g/cap/d","12.63","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2511","Wheat and products","2012","2012","t","435328.61","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2012","2012","g/cap/d","1.86","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2511","Wheat and products","2012","2012","t","64065.35","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2013","2013","1000 t","3925","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2511","Wheat and products","2013","2013","1000 t","900","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2511","Wheat and products","2013","2013","1000 t","-57","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2511","Wheat and products","2013","2013","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2511","Wheat and products","2013","2013","1000 t","4879","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5521","Feed","S2511","Wheat and products","2013","2013","1000 t","50","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5527","Seed","S2511","Wheat and products","2013","2013","1000 t","137","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5123","Losses","S2511","Wheat and products","2013","2013","1000 t","185","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5131","Processing","S2511","Wheat and products","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5154","Other uses (non-food)","S2511","Wheat and products","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5170","Residuals","S2511","Wheat and products","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5142","Food","S2511","Wheat and products","2013","2013","1000 t","4507","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2013","2013","kg/cap","46.42","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2013","2013","kcal/cap/d","393.42","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","661","Food supply (kcal)","S2511","Wheat and products","2013","2013","million Kcal","13941183.51","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2013","2013","g/cap/d","12.43","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","671","Protein supply quantity (t)","S2511","Wheat and products","2013","2013","t","440371.35","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2013","2013","g/cap/d","1.83","E","Estimated value",""
"FBS","Food Balances (2010-)","231","Ethiopia","681","Fat supply quantity (t)","S2511","Wheat and products","2013","2013","t","64782.23","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2014","2014","1000 t","4232","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5611","Import quantity","S2511","Wheat and products","2014","2014","1000 t","1128","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5072","Stock Variation","S2511","Wheat and products","2014","2014","1000 t","-300","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5911","Export quantity","S2511","Wheat and products","2014","2014","1000 t","10","I","Imputed value",""
"FBS","Food Balances (2010-)","231","Ethiopia","5301","Domestic supply quantity","S2511","Wheat and products","2014","2014","1000 t","5649","I","Imputed value",""
