i,t,m,j,Expenditure
010101088800910007,2018-19,Tigray,Coffee,30
010101088800910007,2018-19,Tigray,Onion,9
010101088800910007,2018-19,Tigray,Salt,3
010101088800910007,2018-19,Tigray,Shiro,12
010101088800910007,2018-19,Tigray,Sugar,12
010101088800910017,2018-19,Tigray,Berbere,7
010101088800910017,2018-19,Tigray,Coffee,30
010101088800910017,2018-19,Tigray,Kariya,10
010101088800910017,2018-19,Tigray,Leafy Greens,14
010101088800910017,2018-19,Tigray,Lentils,12
010101088800910017,2018-19,Tigray,Oils,24
010101088800910017,2018-19,Tigray,Onion,18
010101088800910017,2018-19,Tigray,Papaya,18
010101088800910017,2018-19,Tigray,Potato,10
010101088800910017,2018-19,Tigray,Salt,4
010101088800910017,2018-19,Tigray,Shiro,12
010101088800910017,2018-19,Tigray,Sugar,8
010101088800910026,2018-19,Tigray,Avocado,13
010101088800910026,2018-19,Tigray,Berbere,6
010101088800910026,2018-19,Tigray,Bread/biscuit,13
010101088800910026,2018-19,Tigray,Coffee,30
010101088800910026,2018-19,Tigray,Goat & mutton meat,70
010101088800910026,2018-19,Tigray,Leafy Greens,7
010101088800910026,2018-19,Tigray,Oils,23
010101088800910026,2018-19,Tigray,Onion,20
010101088800910026,2018-19,Tigray,Potato,8
010101088800910026,2018-19,Tigray,Salt,3
010101088800910026,2018-19,Tigray,Shiro,18
010101088800910026,2018-19,Tigray,Sugar,12
010101088800910029,2018-19,Tigray,Berbere,30
010101088800910029,2018-19,Tigray,Eggs,20
010101088800910029,2018-19,Tigray,Goat & mutton meat,85
010101088800910029,2018-19,Tigray,Kariya,6
010101088800910029,2018-19,Tigray,Leafy Greens,14
010101088800910029,2018-19,Tigray,Lentils,25
010101088800910029,2018-19,Tigray,Onion,25
010101088800910029,2018-19,Tigray,Pasta/Macaroni,24
010101088800910029,2018-19,Tigray,Potato,7
010101088800910029,2018-19,Tigray,Salt,4
010101088800910029,2018-19,Tigray,Shiro,7
010101088800910029,2018-19,Tigray,Sugar,12
010101088800910029,2018-19,Tigray,Tea,6
010101088800910029,2018-19,Tigray,Tomato,15
010101088800910038,2018-19,Tigray,Coffee,60
010101088800910038,2018-19,Tigray,Horsebeans,115
010101088800910038,2018-19,Tigray,Oils,24
010101088800910038,2018-19,Tigray,Onion,19
010101088800910038,2018-19,Tigray,Salt,5
010101088800910038,2018-19,Tigray,Sugar,50
010101088800910038,2018-19,Tigray,Tea,5
010101088800910046,2018-19,Tigray,Coffee,55
010101088800910046,2018-19,Tigray,Goat & mutton meat,75
010101088800910046,2018-19,Tigray,Horsebeans,15
010101088800910046,2018-19,Tigray,Kariya,7
010101088800910046,2018-19,Tigray,Leafy Greens,14
010101088800910046,2018-19,Tigray,Oils,24
010101088800910046,2018-19,Tigray,Onion,8
010101088800910046,2018-19,Tigray,Potato,8
010101088800910046,2018-19,Tigray,Salt,5
010101088800910046,2018-19,Tigray,Sugar,15
010101088800910046,2018-19,Tigray,Wheat,10
010101088800910054,2018-19,Tigray,Berbere,15
010101088800910054,2018-19,Tigray,Coffee,30
010101088800910054,2018-19,Tigray,Kariya,10
010101088800910054,2018-19,Tigray,Leafy Greens,14
010101088800910054,2018-19,Tigray,Lentils,15
010101088800910054,2018-19,Tigray,Oils,24
010101088800910054,2018-19,Tigray,Onion,18
010101088800910054,2018-19,Tigray,Potato,7
010101088800910054,2018-19,Tigray,Salt,6
010101088800910054,2018-19,Tigray,Sugar,12
010101088800910062,2018-19,Tigray,Berbere,14
010101088800910062,2018-19,Tigray,Coffee,30
010101088800910062,2018-19,Tigray,Garlic,5
010101088800910062,2018-19,Tigray,Goat & mutton meat,150
010101088800910062,2018-19,Tigray,Horsebeans,12
010101088800910062,2018-19,Tigray,Leafy Greens,14
010101088800910062,2018-19,Tigray,Oils,24
010101088800910062,2018-19,Tigray,Onion,20
010101088800910062,2018-19,Tigray,Potato,10
010101088800910062,2018-19,Tigray,Salt,6
010101088800910062,2018-19,Tigray,Sugar,15
010101088800910070,2018-19,Tigray,Coffee,30
010101088800910070,2018-19,Tigray,Goat & mutton meat,160
010101088800910070,2018-19,Tigray,Oils,23
010101088800910070,2018-19,Tigray,Onion,20
010101088800910070,2018-19,Tigray,Potato,15
010101088800910070,2018-19,Tigray,Salt,4
010101088800910070,2018-19,Tigray,Shiro,12
010101088800910070,2018-19,Tigray,Sugar,24
010101088800910082,2018-19,Tigray,Beef,150
010101088800910082,2018-19,Tigray,Beer,120
010101088800910082,2018-19,Tigray,Berbere,25
010101088800910082,2018-19,Tigray,Bread/biscuit,25
010101088800910082,2018-19,Tigray,Coffee,27
010101088800910082,2018-19,Tigray,Garlic,15
010101088800910082,2018-19,Tigray,Kariya,6
010101088800910082,2018-19,Tigray,Leafy Greens,14
010101088800910082,2018-19,Tigray,Onion,10
010101088800910082,2018-19,Tigray,Potato,15
010101088800910082,2018-19,Tigray,Salt,4
010101088800910082,2018-19,Tigray,Shiro,15
010101088800910082,2018-19,Tigray,Sugar,12
010101088800910093,2018-19,Tigray,Berbere,6
010101088800910093,2018-19,Tigray,Coffee,30
010101088800910093,2018-19,Tigray,Kariya,8
010101088800910093,2018-19,Tigray,Lentils,12
010101088800910093,2018-19,Tigray,Onion,18
010101088800910093,2018-19,Tigray,Potato,16
010101088800910093,2018-19,Tigray,Salt,3
010101088800910093,2018-19,Tigray,Shiro,14
010101088800910093,2018-19,Tigray,Sugar,13
010101088800910093,2018-19,Tigray,Wheat,48
010102088801010034,2018-19,Tigray,Berbere,25
010102088801010034,2018-19,Tigray,Coffee,25
010102088801010034,2018-19,Tigray,Lentils,25
010102088801010034,2018-19,Tigray,Maize,100
010102088801010034,2018-19,Tigray,Oils,60
010102088801010034,2018-19,Tigray,Onion,20
010102088801010034,2018-19,Tigray,Salt,10
010102088801010034,2018-19,Tigray,Shiro,50
010102088801010034,2018-19,Tigray,Sugar,15
010102088801010034,2018-19,Tigray,Tomato,12
010102088801010035,2018-19,Tigray,Berbere,20
010102088801010035,2018-19,Tigray,Coffee,25
010102088801010035,2018-19,Tigray,Maize,128
010102088801010035,2018-19,Tigray,Oils,20
010102088801010035,2018-19,Tigray,Onion,10
010102088801010035,2018-19,Tigray,Salt,3
010102088801010035,2018-19,Tigray,Shiro,26
010102088801010035,2018-19,Tigray,Sugar,12
010102088801010048,2018-19,Tigray,Berbere,20
010102088801010048,2018-19,Tigray,Chick Pea,40
010102088801010048,2018-19,Tigray,Coffee,30
010102088801010048,2018-19,Tigray,Garlic,15
010102088801010048,2018-19,Tigray,Oils,20
010102088801010048,2018-19,Tigray,Onion,18
010102088801010048,2018-19,Tigray,Salt,5
010102088801010048,2018-19,Tigray,Sugar,23
010102088801010048,2018-19,Tigray,Teff,128
010102088801010048,2018-19,Tigray,Wheat,50
010102088801010068,2018-19,Tigray,Beef,100
010102088801010068,2018-19,Tigray,Coffee,50
010102088801010068,2018-19,Tigray,Oils,60
010102088801010068,2018-19,Tigray,Onion,20
010102088801010068,2018-19,Tigray,Salt,9
010102088801010068,2018-19,Tigray,Sugar,30
010102088801010090,2018-19,Tigray,Beef,100
010102088801010090,2018-19,Tigray,Berbere,15
010102088801010090,2018-19,Tigray,Coffee,30
010102088801010090,2018-19,Tigray,Maize,15
010102088801010090,2018-19,Tigray,Oils,60
010102088801010090,2018-19,Tigray,Onion,18
010102088801010090,2018-19,Tigray,Potato,18
010102088801010090,2018-19,Tigray,Salt,3
010102088801010090,2018-19,Tigray,Soda,12
010102088801010090,2018-19,Tigray,Sugar,40
010102088801010090,2018-19,Tigray,Teff,128
010102088801010090,2018-19,Tigray,Tomato,15
010102088801010104,2018-19,Tigray,Berbere,15
010102088801010104,2018-19,Tigray,Bread/biscuit,60
010102088801010104,2018-19,Tigray,Coffee,25
010102088801010104,2018-19,Tigray,Garlic,10
010102088801010104,2018-19,Tigray,Leafy Greens,5
010102088801010104,2018-19,Tigray,Lentils,15
010102088801010104,2018-19,Tigray,Oils,20
010102088801010104,2018-19,Tigray,Onion,10
010102088801010104,2018-19,Tigray,Pasta/Macaroni,20
010102088801010104,2018-19,Tigray,Rice,15
010102088801010104,2018-19,Tigray,Salt,5
010102088801010104,2018-19,Tigray,Shiro,25
010102088801010104,2018-19,Tigray,Sorghum,60
010102088801010104,2018-19,Tigray,Sugar,10
010102088801010104,2018-19,Tigray,Teff,80
010102088801010104,2018-19,Tigray,Tomato,12
010102088801010113,2018-19,Tigray,Berbere,20
010102088801010113,2018-19,Tigray,Coffee,30
010102088801010113,2018-19,Tigray,Hops (gesho),60
010102088801010113,2018-19,Tigray,Lentils,15
010102088801010113,2018-19,Tigray,Oils,25
010102088801010113,2018-19,Tigray,Onion,20
010102088801010113,2018-19,Tigray,Salt,5
010102088801010113,2018-19,Tigray,Shiro,30
010102088801010113,2018-19,Tigray,Sorghum,182
010102088801010113,2018-19,Tigray,Teff,73
010102088801010113,2018-19,Tigray,Tomato,10
010102088801010136,2018-19,Tigray,Berbere,25
010102088801010136,2018-19,Tigray,Coffee,110
010102088801010136,2018-19,Tigray,Garlic,25
010102088801010136,2018-19,Tigray,Onion,22
010102088801010136,2018-19,Tigray,Salt,5
010102088801010136,2018-19,Tigray,Sugar,13
010102088801010148,2018-19,Tigray,Coffee,50
010102088801010148,2018-19,Tigray,Garlic,18
010102088801010148,2018-19,Tigray,Oils,70
010102088801010148,2018-19,Tigray,Onion,18
010102088801010148,2018-19,Tigray,Potato,15
010102088801010148,2018-19,Tigray,Salt,12
010102088801010148,2018-19,Tigray,Soda,36
010102088801010148,2018-19,Tigray,Sugar,30
010102088801010161,2018-19,Tigray,Berbere,30
010102088801010161,2018-19,Tigray,Oils,72
010102088801010161,2018-19,Tigray,Onion,20
010102088801010161,2018-19,Tigray,Salt,10
010102088801010173,2018-19,Tigray,Coffee,50
010102088801010173,2018-19,Tigray,Oils,60
010102088801010173,2018-19,Tigray,Onion,20
010102088801010173,2018-19,Tigray,Salt,10
010102088801010173,2018-19,Tigray,Shiro,60
010102088801010173,2018-19,Tigray,Sugar,30
010102088801010173,2018-19,Tigray,Tella,9
010103088800709008,2018-19,Tigray,Berbere,22
010103088800709008,2018-19,Tigray,Coffee,25
010103088800709008,2018-19,Tigray,Garlic,25
010103088800709008,2018-19,Tigray,Oils,25
010103088800709008,2018-19,Tigray,Onion,10
010103088800709008,2018-19,Tigray,Salt,2
010103088800709008,2018-19,Tigray,Sugar,10
010103088800709016,2018-19,Tigray,Berbere,20
010103088800709016,2018-19,Tigray,Coffee,25
010103088800709016,2018-19,Tigray,Horsebeans,30
010103088800709016,2018-19,Tigray,Oils,20
010103088800709016,2018-19,Tigray,Onion,5
010103088800709016,2018-19,Tigray,Salt,3
010103088800709016,2018-19,Tigray,Sugar,10
010103088800709024,2018-19,Tigray,Berbere,20
010103088800709024,2018-19,Tigray,Coffee,25
010103088800709024,2018-19,Tigray,Garlic,15
010103088800709024,2018-19,Tigray,Horsebeans,50
010103088800709024,2018-19,Tigray,Maize,30
010103088800709024,2018-19,Tigray,Oils,30
010103088800709024,2018-19,Tigray,Onion,10
010103088800709024,2018-19,Tigray,Salt,3
010103088800709024,2018-19,Tigray,Sugar,10
010103088800709024,2018-19,Tigray,Tomato,5
010103088800709032,2018-19,Tigray,Berbere,30
010103088800709032,2018-19,Tigray,Coffee,25
010103088800709032,2018-19,Tigray,Oils,40
010103088800709032,2018-19,Tigray,Onion,20
010103088800709032,2018-19,Tigray,Poultry,230
010103088800709032,2018-19,Tigray,Salt,3
010103088800709032,2018-19,Tigray,Sugar,10
010103088800709040,2018-19,Tigray,Berbere,50
010103088800709040,2018-19,Tigray,Coffee,25
010103088800709040,2018-19,Tigray,Garlic,25
010103088800709040,2018-19,Tigray,Oils,40
010103088800709040,2018-19,Tigray,Onion,15
010103088800709040,2018-19,Tigray,Salt,3
010103088800709040,2018-19,Tigray,Sugar,10
010103088800709048,2018-19,Tigray,Berbere,45
010103088800709048,2018-19,Tigray,Coffee,25
010103088800709048,2018-19,Tigray,Horsebeans,20
010103088800709048,2018-19,Tigray,Salt,3
010103088800709048,2018-19,Tigray,Sugar,10
010103088800709056,2018-19,Tigray,Beef,200
010103088800709056,2018-19,Tigray,Berbere,30
010103088800709056,2018-19,Tigray,Coffee,50
010103088800709056,2018-19,Tigray,Garlic,15
010103088800709056,2018-19,Tigray,Oils,20
010103088800709056,2018-19,Tigray,Onion,20
010103088800709056,2018-19,Tigray,Salt,5
010103088800709056,2018-19,Tigray,Sugar,20
010103088800709064,2018-19,Tigray,Berbere,40
010103088800709064,2018-19,Tigray,Horsebeans,40
010103088800709064,2018-19,Tigray,Oils,40
010103088800709064,2018-19,Tigray,Salt,5
010103088800709064,2018-19,Tigray,Sugar,20
010103088800709072,2018-19,Tigray,Berbere,50
010103088800709072,2018-19,Tigray,Coffee,25
010103088800709072,2018-19,Tigray,Horsebeans,30
010103088800709072,2018-19,Tigray,Oils,50
010103088800709072,2018-19,Tigray,Onion,15
010103088800709072,2018-19,Tigray,Sugar,10
010103088800709072,2018-19,Tigray,Tomato,13
010103088800709080,2018-19,Tigray,Berbere,30
010103088800709080,2018-19,Tigray,Coffee,25
010103088800709080,2018-19,Tigray,Oils,30
010103088800709080,2018-19,Tigray,Onion,20
010103088800709080,2018-19,Tigray,Salt,5
010103088800709080,2018-19,Tigray,Sugar,10
010104010100101012,2018-19,Tigray,Beef,180
010104010100101012,2018-19,Tigray,Onion,36
010104010100101012,2018-19,Tigray,Salt,9
010104010100101012,2018-19,Tigray,Sugar,20
010104010100101028,2018-19,Tigray,Beef,180
010104010100101028,2018-19,Tigray,Berbere,15
010104010100101028,2018-19,Tigray,Bread/biscuit,20
010104010100101028,2018-19,Tigray,Mango,50
010104010100101028,2018-19,Tigray,Onion,18
010104010100101028,2018-19,Tigray,Salt,5
010104010100101028,2018-19,Tigray,Sugar,20
010104010100101044,2018-19,Tigray,Oils,18
010104010100101044,2018-19,Tigray,Onion,24
010104010100101044,2018-19,Tigray,Salt,9
010104010100101044,2018-19,Tigray,Shiro,15
010104010100101044,2018-19,Tigray,Sorghum,45
010104010100101044,2018-19,Tigray,Tea,4
010104010100101044,2018-19,Tigray,Teff,36
010104010100101060,2018-19,Tigray,Banana,32
010104010100101060,2018-19,Tigray,Bread/biscuit,10
010104010100101060,2018-19,Tigray,Onion,16
010104010100101060,2018-19,Tigray,Salt,5
010104010100101060,2018-19,Tigray,Sorghum,96
010104010100101060,2018-19,Tigray,Sugar,20
010104010100101060,2018-19,Tigray,Teff,54
010104010100101076,2018-19,Tigray,Onion,18
010104010100101076,2018-19,Tigray,Salt,5
010104010100101076,2018-19,Tigray,Sugar,20
010104010100101092,2018-19,Tigray,Beef,175
010104010100101092,2018-19,Tigray,Bread/biscuit,9
010104010100101092,2018-19,Tigray,Onion,23
010104010100101092,2018-19,Tigray,Salt,5
010104010100101092,2018-19,Tigray,Sugar,35
010104010100101108,2018-19,Tigray,Berbere,30
010104010100101108,2018-19,Tigray,Bread/biscuit,40
010104010100101108,2018-19,Tigray,Horsebeans,18
010104010100101108,2018-19,Tigray,Mango,50
010104010100101108,2018-19,Tigray,Oils,60
010104010100101108,2018-19,Tigray,Onion,24
010104010100101108,2018-19,Tigray,Salt,16
010104010100101108,2018-19,Tigray,Shiro,50
010104010100101108,2018-19,Tigray,Sugar,35
010104010100101108,2018-19,Tigray,Tella,20
010104010100101108,2018-19,Tigray,Tomato,25
010104010100101124,2018-19,Tigray,Onion,24
010104010100101124,2018-19,Tigray,Salt,5
010104010100101124,2018-19,Tigray,Shiro,25
010104010100101140,2018-19,Tigray,Banana,18
010104010100101140,2018-19,Tigray,Beef,180
010104010100101140,2018-19,Tigray,Bread/biscuit,50
010104010100101140,2018-19,Tigray,Oils,40
010104010100101140,2018-19,Tigray,Onion,48
010104010100101140,2018-19,Tigray,Potato,24
010104010100101140,2018-19,Tigray,Salt,9
010104010100101140,2018-19,Tigray,Sorghum,108
010104010100101140,2018-19,Tigray,Sugar,38
010104010100101140,2018-19,Tigray,Teff,180
010104010100101140,2018-19,Tigray,Tomato,20
010104010100101156,2018-19,Tigray,Beef,180
010104010100101156,2018-19,Tigray,Berbere,25
010104010100101156,2018-19,Tigray,Bread/biscuit,15
010104010100101156,2018-19,Tigray,Millet,36
010104010100101156,2018-19,Tigray,Oils,25
010104010100101156,2018-19,Tigray,Onion,24
010104010100101156,2018-19,Tigray,Salt,9
010104010100101156,2018-19,Tigray,Shiro,20
010104010100101156,2018-19,Tigray,Sorghum,46
010104010100101156,2018-19,Tigray,Sugar,35
010104010100101156,2018-19,Tigray,Teff,100
010104010100101172,2018-19,Tigray,Berbere,20
010104010100101172,2018-19,Tigray,Bread/biscuit,10
010104010100101172,2018-19,Tigray,Carrot,25
010104010100101172,2018-19,Tigray,Garlic,15
010104010100101172,2018-19,Tigray,Goat & mutton meat,200
010104010100101172,2018-19,Tigray,Leafy Greens,5
010104010100101172,2018-19,Tigray,Oils,28
010104010100101172,2018-19,Tigray,Onion,16
010104010100101172,2018-19,Tigray,Potato,16
010104010100101172,2018-19,Tigray,Rice,25
010104010100101172,2018-19,Tigray,Salt,9
010104010100101172,2018-19,Tigray,Shiro,20
010104010100101172,2018-19,Tigray,Sugar,35
010104010100101172,2018-19,Tigray,Teff,72
010104010100101172,2018-19,Tigray,Tomato,10
010104010100101188,2018-19,Tigray,Banana,36
010104010100101188,2018-19,Tigray,Bread/biscuit,20
010104010100101188,2018-19,Tigray,Goat & mutton meat,200
010104010100101188,2018-19,Tigray,Maize,90
010104010100101188,2018-19,Tigray,Onion,17
010104010100101188,2018-19,Tigray,Salt,5
010104010100101188,2018-19,Tigray,Sugar,25
010104010100101188,2018-19,Tigray,Teff,72
010104010100101188,2018-19,Tigray,Tomato,16
010104010100101204,2018-19,Tigray,Banana,18
010104010100101204,2018-19,Tigray,Bread/biscuit,10
010104010100101204,2018-19,Tigray,Horsebeans,20
010104010100101204,2018-19,Tigray,Maize,36
010104010100101204,2018-19,Tigray,Millet,30
010104010100101204,2018-19,Tigray,Oils,35
010104010100101204,2018-19,Tigray,Onion,18
010104010100101204,2018-19,Tigray,Potato,32
010104010100101204,2018-19,Tigray,Salt,5
010104010100101204,2018-19,Tigray,Sorghum,36
010104010100101204,2018-19,Tigray,Sugar,25
010104010100101204,2018-19,Tigray,Teff,32
010104010100101204,2018-19,Tigray,Tomato,16
010104010100101220,2018-19,Tigray,Banana,18
010104010100101220,2018-19,Tigray,Beef,180
010104010100101220,2018-19,Tigray,Bread/biscuit,10
010104010100101220,2018-19,Tigray,Millet,16
010104010100101220,2018-19,Tigray,Onion,18
010104010100101220,2018-19,Tigray,Salt,9
010104010100101220,2018-19,Tigray,Sorghum,36
010104010100101220,2018-19,Tigray,Sugar,25
010104010100101220,2018-19,Tigray,Teff,54
010104010100101236,2018-19,Tigray,Oils,25
010104010100101236,2018-19,Tigray,Onion,24
010104010100101236,2018-19,Tigray,Salt,9
010104088800405010,2018-19,Tigray,Berbere,25
010104088800405010,2018-19,Tigray,Garlic,20
010104088800405010,2018-19,Tigray,Maize,96
010104088800405010,2018-19,Tigray,Oils,60
010104088800405010,2018-19,Tigray,Onion,18
010104088800405010,2018-19,Tigray,Salt,3
010104088800405010,2018-19,Tigray,Shiro,50
010104088800405010,2018-19,Tigray,Teff,160
010104088800405019,2018-19,Tigray,Berbere,25
010104088800405019,2018-19,Tigray,Garlic,20
010104088800405019,2018-19,Tigray,Oils,25
010104088800405019,2018-19,Tigray,Onion,19
010104088800405019,2018-19,Tigray,Salt,5
010104088800405019,2018-19,Tigray,Shiro,50
010104088800405019,2018-19,Tigray,Sorghum,120
010104088800405019,2018-19,Tigray,Teff,150
010104088800405019,2018-19,Tigray,Tomato,12
010104088800405028,2018-19,Tigray,Berbere,30
010104088800405028,2018-19,Tigray,Garlic,30
010104088800405028,2018-19,Tigray,Oils,60
010104088800405028,2018-19,Tigray,Onion,20
010104088800405028,2018-19,Tigray,Salt,3
010104088800405028,2018-19,Tigray,Shiro,50
010104088800405028,2018-19,Tigray,Sorghum,90
010104088800405028,2018-19,Tigray,Teff,300
010104088800405028,2018-19,Tigray,Tomato,15
010104088800405030,2018-19,Tigray,Berbere,25
010104088800405030,2018-19,Tigray,Garlic,15
010104088800405030,2018-19,Tigray,Oils,26
010104088800405030,2018-19,Tigray,Onion,18
010104088800405030,2018-19,Tigray,Salt,3
010104088800405030,2018-19,Tigray,Shiro,50
010104088800405030,2018-19,Tigray,Sorghum,150
010104088800405030,2018-19,Tigray,Teff,150
010104088800405030,2018-19,Tigray,Wheat,50
010104088800405043,2018-19,Tigray,Berbere,25
010104088800405043,2018-19,Tigray,Coffee,30
010104088800405043,2018-19,Tigray,Garlic,15
010104088800405043,2018-19,Tigray,Maize,75
010104088800405043,2018-19,Tigray,Oils,26
010104088800405043,2018-19,Tigray,Onion,20
010104088800405043,2018-19,Tigray,Salt,5
010104088800405043,2018-19,Tigray,Shiro,60
010104088800405043,2018-19,Tigray,Sugar,14
010104088800405043,2018-19,Tigray,Teff,256
010104088800405056,2018-19,Tigray,Beer,150
010104088800405056,2018-19,Tigray,Berbere,30
010104088800405056,2018-19,Tigray,Coffee,30
010104088800405056,2018-19,Tigray,Garlic,20
010104088800405056,2018-19,Tigray,Oils,26
010104088800405056,2018-19,Tigray,Onion,18
010104088800405056,2018-19,Tigray,Potato,20
010104088800405056,2018-19,Tigray,Salt,3
010104088800405056,2018-19,Tigray,Shiro,50
010104088800405056,2018-19,Tigray,Soda,55
010104088800405056,2018-19,Tigray,Teff,140
010104088800405056,2018-19,Tigray,Tomato,15
010104088800405069,2018-19,Tigray,Berbere,20
010104088800405069,2018-19,Tigray,Coffee,25
010104088800405069,2018-19,Tigray,Garlic,25
010104088800405069,2018-19,Tigray,Maize,130
010104088800405069,2018-19,Tigray,Oils,25
010104088800405069,2018-19,Tigray,Onion,20
010104088800405069,2018-19,Tigray,Salt,5
010104088800405069,2018-19,Tigray,Teff,270
010104088800405080,2018-19,Tigray,Berbere,25
010104088800405080,2018-19,Tigray,Oils,26
010104088800405080,2018-19,Tigray,Onion,36
010104088800405080,2018-19,Tigray,Potato,16
010104088800405080,2018-19,Tigray,Salt,5
010104088800405080,2018-19,Tigray,Shiro,50
010104088800405080,2018-19,Tigray,Sorghum,130
010104088800405080,2018-19,Tigray,Sugar,23
010104088800405080,2018-19,Tigray,Teff,210
010104088800405080,2018-19,Tigray,Tella,15
010104088800405091,2018-19,Tigray,Berbere,25
010104088800405091,2018-19,Tigray,Coffee,25
010104088800405091,2018-19,Tigray,Oils,25
010104088800405091,2018-19,Tigray,Onion,18
010104088800405091,2018-19,Tigray,Salt,5
010104088800405091,2018-19,Tigray,Shiro,50
010104088800405091,2018-19,Tigray,Sorghum,96
010104088800405091,2018-19,Tigray,Teff,128
010104088800405091,2018-19,Tigray,Tomato,13
010104088800405098,2018-19,Tigray,Coffee,30
010104088800405098,2018-19,Tigray,Leafy Greens,15
010104088800405098,2018-19,Tigray,Maize,150
010104088800405098,2018-19,Tigray,Oils,26
010104088800405098,2018-19,Tigray,Onion,16
010104088800405098,2018-19,Tigray,Salt,3
010104088800405098,2018-19,Tigray,Sugar,12
010104088800405098,2018-19,Tigray,Teff,300
010104088800405106,2018-19,Tigray,Berbere,25
010104088800405106,2018-19,Tigray,Garlic,25
010104088800405106,2018-19,Tigray,Oils,26
010104088800405106,2018-19,Tigray,Onion,20
010104088800405106,2018-19,Tigray,Potato,16
010104088800405106,2018-19,Tigray,Salt,3
010104088800405106,2018-19,Tigray,Shiro,50
010104088800405106,2018-19,Tigray,Sorghum,140
010104088800405106,2018-19,Tigray,Sugar,23
010104088800405106,2018-19,Tigray,Tea,20
010104088800405106,2018-19,Tigray,Teff,190
010104088800405133,2018-19,Tigray,Banana,50
010104088800405133,2018-19,Tigray,Berbere,90
010104088800405133,2018-19,Tigray,Coffee,30
010104088800405133,2018-19,Tigray,Eggs,30
010104088800405133,2018-19,Tigray,Garlic,20
010104088800405133,2018-19,Tigray,Goat & mutton meat,400
010104088800405133,2018-19,Tigray,Oils,26
010104088800405133,2018-19,Tigray,Onion,40
010104088800405133,2018-19,Tigray,Potato,18
010104088800405133,2018-19,Tigray,Salt,5
010104088800405133,2018-19,Tigray,Shiro,60
010104088800405133,2018-19,Tigray,Soda,36
010104088800405133,2018-19,Tigray,Sugar,23
010104088800405133,2018-19,Tigray,Teff,256
010104088800405133,2018-19,Tigray,Tomato,15
010104088800405133,2018-19,Tigray,Wheat,130
010105088800712018,2018-19,Tigray,Bread/biscuit,63
010105088800712018,2018-19,Tigray,Garlic,8
010105088800712018,2018-19,Tigray,Kariya,7
010105088800712018,2018-19,Tigray,Leafy Greens,10
010105088800712018,2018-19,Tigray,Millet,74.5
010105088800712018,2018-19,Tigray,Oils,70
010105088800712018,2018-19,Tigray,Onion,24
010105088800712018,2018-19,Tigray,Potato,14
010105088800712018,2018-19,Tigray,Shiro,25
010105088800712018,2018-19,Tigray,Sorghum,73
010105088800712018,2018-19,Tigray,Sugar,15
010105088800712018,2018-19,Tigray,Tomato,20
010105088800712045,2018-19,Tigray,Mango,25
010105088800712045,2018-19,Tigray,Oils,35
010105088800712045,2018-19,Tigray,Onion,24
010105088800712045,2018-19,Tigray,Salt,3
010105088800712045,2018-19,Tigray,Shiro,25
010105088800712045,2018-19,Tigray,Tomato,18
010105088800712049,2018-19,Tigray,Kariya,10
010105088800712049,2018-19,Tigray,Leafy Greens,20
010105088800712049,2018-19,Tigray,Lentils,20
010105088800712049,2018-19,Tigray,Oils,30
010105088800712049,2018-19,Tigray,Onion,37
010105088800712049,2018-19,Tigray,Salt,3
010105088800712049,2018-19,Tigray,Tomato,9
010105088800712050,2018-19,Tigray,Leafy Greens,10
010105088800712050,2018-19,Tigray,Millet,64
010105088800712050,2018-19,Tigray,Oils,30
010105088800712050,2018-19,Tigray,Onion,25
010105088800712050,2018-19,Tigray,Pasta/Macaroni,9
010105088800712050,2018-19,Tigray,Salt,3
010105088800712050,2018-19,Tigray,Shiro,16
010105088800712050,2018-19,Tigray,Sorghum,64
010105088800712054,2018-19,Tigray,Beer,360
010105088800712054,2018-19,Tigray,Berbere,25
010105088800712054,2018-19,Tigray,Kariya,30
010105088800712054,2018-19,Tigray,Lentils,70
010105088800712054,2018-19,Tigray,Oils,120
010105088800712054,2018-19,Tigray,Onion,62
010105088800712054,2018-19,Tigray,Potato,15
010105088800712054,2018-19,Tigray,Shiro,100
010105088800712054,2018-19,Tigray,Soda,288
010105088800712054,2018-19,Tigray,Sorghum,480
010105088800712054,2018-19,Tigray,Sugar,40
010105088800712054,2018-19,Tigray,Tomato,54
010105088800712061,2018-19,Tigray,Oils,30
010105088800712061,2018-19,Tigray,Onion,39
010105088800712061,2018-19,Tigray,Salt,3
010105088800712061,2018-19,Tigray,Tomato,15
010105088800712072,2018-19,Tigray,Garlic,15
010105088800712072,2018-19,Tigray,Kariya,15
010105088800712072,2018-19,Tigray,Lentils,50
010105088800712072,2018-19,Tigray,Oils,70
010105088800712072,2018-19,Tigray,Onion,36
010105088800712072,2018-19,Tigray,Rice,56
010105088800712072,2018-19,Tigray,Salt,3
010105088800712072,2018-19,Tigray,Sorghum,165
010105088800712072,2018-19,Tigray,Sugar,10
010105088800712072,2018-19,Tigray,Tomato,26
010105088800712074,2018-19,Tigray,Oils,30
010105088800712074,2018-19,Tigray,Onion,24
010105088800712074,2018-19,Tigray,Salt,3
010105088800712074,2018-19,Tigray,Shiro,25
010105088800712074,2018-19,Tigray,Sorghum,96
010105088800712074,2018-19,Tigray,Tomato,15
010105088800712079,2018-19,Tigray,Banana,22
010105088800712079,2018-19,Tigray,Lentils,18
010105088800712079,2018-19,Tigray,Oils,60
010105088800712079,2018-19,Tigray,Onion,48
